game,season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4
201310290LAL,2014,LAC,LAL,0,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,Nick Young,Pau Gasol,Shawne Williams,Steve Blake,Steve Nash
201310290LAL,2014,LAC,LAL,5,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,Chris Kaman,Nick Young,Pau Gasol,Steve Blake,Steve Nash
201310290LAL,2014,LAC,LAL,8,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Matt Barnes,Chris Kaman,Jodie Meeks,Jordan Farmar,Pau Gasol,Xavier Henry
201310290LAL,2014,LAL,LAC,11,Chris Kaman,Jodie Meeks,Jordan Farmar,Wesley Johnson,Xavier Henry,Chris Paul,DeAndre Jordan,J.J. Redick,Jamal Crawford,Matt Barnes
201310290LAL,2014,LAC,LAL,13,Darren Collison,Jamal Crawford,Jared Dudley,Matt Barnes,Ryan Hollins,Jodie Meeks,Jordan Farmar,Jordan Hill,Wesley Johnson,Xavier Henry
201310290LAL,2014,LAL,LAC,14,Jodie Meeks,Jordan Farmar,Jordan Hill,Wesley Johnson,Xavier Henry,Blake Griffin,Darren Collison,Jamal Crawford,Jared Dudley,Matt Barnes
201310290LAL,2014,LAC,LAL,15,Blake Griffin,Darren Collison,Jamal Crawford,Jared Dudley,Matt Barnes,Jodie Meeks,Jordan Farmar,Jordan Hill,Shawne Williams,Xavier Henry
201310290LAL,2014,LAC,LAL,17,Blake Griffin,Darren Collison,DeAndre Jordan,Jamal Crawford,Jared Dudley,Jodie Meeks,Jordan Farmar,Jordan Hill,Shawne Williams,Xavier Henry
201310290LAL,2014,LAL,LAC,18,Chris Kaman,Nick Young,Pau Gasol,Steve Blake,Steve Nash,Blake Griffin,Darren Collison,DeAndre Jordan,Jamal Crawford,Jared Dudley
201310290LAL,2014,LAL,LAC,19,Chris Kaman,Nick Young,Pau Gasol,Steve Blake,Steve Nash,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Jared Dudley
