game,season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,outcome
201310290LAL,2014,LAL,LAC,0,Nick Young,Pau Gasol,Shawne Williams,Steve Blake,Steve Nash,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,-1
201310290LAL,2014,LAL,LAC,5,Chris Kaman,Nick Young,Pau Gasol,Steve Blake,Steve Nash,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,-1
201310290LAL,2014,LAL,LAC,8,Chris Kaman,Jodie Meeks,Jordan Farmar,Pau Gasol,Xavier Henry,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Matt Barnes,-1
201310290LAL,2014,LAL,LAC,11,Chris Kaman,Jodie Meeks,Jordan Farmar,Wesley Johnson,Xavier Henry,Chris Paul,DeAndre Jordan,J.J. Redick,Jamal Crawford,Matt Barnes,1
201310290LAL,2014,LAL,LAC,13,Jodie Meeks,Jordan Farmar,Jordan Hill,Wesley Johnson,Xavier Henry,Darren Collison,Jamal Crawford,Jared Dudley,Matt Barnes,Ryan Hollins,-1
201310290LAL,2014,LAL,LAC,14,Jodie Meeks,Jordan Farmar,Jordan Hill,Wesley Johnson,Xavier Henry,Blake Griffin,Darren Collison,Jamal Crawford,Jared Dudley,Matt Barnes,1
201310290LAL,2014,LAL,LAC,15,Jodie Meeks,Jordan Farmar,Jordan Hill,Shawne Williams,Xavier Henry,Blake Griffin,Darren Collison,Jamal Crawford,Jared Dudley,Matt Barnes,-1
201310290LAL,2014,LAL,LAC,17,Jodie Meeks,Jordan Farmar,Jordan Hill,Shawne Williams,Xavier Henry,Blake Griffin,Darren Collison,DeAndre Jordan,Jamal Crawford,Jared Dudley,-1
201310290LAL,2014,LAL,LAC,18,Chris Kaman,Nick Young,Pau Gasol,Steve Blake,Steve Nash,Blake Griffin,Darren Collison,DeAndre Jordan,Jamal Crawford,Jared Dudley,1
201310290LAL,2014,LAL,LAC,19,Chris Kaman,Nick Young,Pau Gasol,Steve Blake,Steve Nash,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Jared Dudley,1
201310290LAL,2014,LAL,LAC,21,Chris Kaman,Nick Young,Pau Gasol,Steve Blake,Steve Nash,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Matt Barnes,-1
201310290LAL,2014,LAL,LAC,24,Chris Kaman,Jordan Farmar,Nick Young,Pau Gasol,Steve Blake,Blake Griffin,Chris Paul,Darren Collison,J.J. Redick,Jamal Crawford,-1
201310290LAL,2014,LAL,LAC,25,Nick Young,Pau Gasol,Shawne Williams,Steve Blake,Steve Nash,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,-1
201310290LAL,2014,LAL,LAC,27,Nick Young,Pau Gasol,Shawne Williams,Steve Blake,Steve Nash,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Matt Barnes,1
