Season,Accuracy,F-1(micro),F-1(macro),F-1(weighted)
2007,0.2,0.2,0.09999999999999999,0.18266666666666664
2008,0.31,0.31,0.1900322841000807,0.2929523809523809
2009,0.21,0.21,0.12025641025641025,0.1943333333333333
2010,0.28,0.28,0.15446674537583627,0.2572857142857143
2011,0.37,0.37,0.22549019607843138,0.3416666666666666
2012,0.23,0.23,0.12179487179487179,0.21499999999999997
2013,0.38,0.38,0.23697478991596638,0.38
2014,0.4,0.4,0.24540229885057474,0.3593333333333333
2015,0.22,0.22,0.13848039215686272,0.23
2016,0.1,0.1,0.05564516129032257,0.083
