Season,Accuracy,F-1(micro),F-1(macro),F-1(weighted)
2007,0.21,0.21,0.10717948717948718,0.2
2008,0.29,0.29,0.15995316159250583,0.27799999999999997
2009,0.21,0.21,0.11055155875299758,0.19
2010,0.3,0.3,0.15628415300546447,0.283
2011,0.29,0.29,0.17526881720430104,0.2806666666666667
2012,0.26,0.26,0.14453333333333332,0.22633333333333333
2013,0.36,0.36,0.2126984126984127,0.3616190476190477
2014,0.38,0.38,0.22779146141215106,0.33514285714285713
2015,0.31,0.31,0.1793010752688172,0.27799999999999997
2016,0.11,0.11,0.05510752688172042,0.10166666666666668
