Season,Accuracy,F-1(micro),F-1(macro),F-1(weighted)
2007,0.28,0.28,0.16967213114754098,0.26466666666666666
2008,0.46,0.46,0.3148910411622276,0.4716190476190476
2009,0.27,0.27,0.15587529976019182,0.26166666666666666
2010,0.42,0.42,0.29325051759834364,0.40771428571428564
2011,0.42,0.42,0.2864406779661017,0.4093333333333334
2012,0.46,0.46,0.2962469733656174,0.4462857142857143
2013,0.43,0.43,0.26525714285714286,0.4366190476190476
2014,0.52,0.52,0.3709039548022599,0.5186666666666667
2015,0.34,0.34,0.21757105943152455,0.32133333333333325
2016,0.13,0.13,0.07794871794871794,0.14066666666666666
