Season,Accuracy,F-1(micro),F-1(macro),F-1(weighted)
2007,0.37,0.37,0.24986225895316805,0.35533333333333333
2008,0.44,0.44,0.2922077922077922,0.4626190476190476
2009,0.43,0.43,0.282687338501292,0.42933333333333334
2010,0.44,0.44,0.2702070393374741,0.4292142857142857
2011,0.51,0.51,0.36005509641873273,0.5226666666666666
2012,0.4,0.4,0.24613333333333332,0.38866666666666666
2013,0.44,0.44,0.27075396825396825,0.44161904761904763
2014,0.56,0.56,0.39136904761904756,0.5466666666666666
2015,0.43,0.43,0.2859078590785908,0.4183333333333333
2016,0.12,0.12,0.07162534435261708,0.11666666666666664
