Season,Accuracy,F-1(micro),F-1(macro),F-1(weighted)
2007,0.28,0.28,0.15223097112860895,0.24400000000000002
2008,0.44,0.44,0.2841687552213868,0.43209523809523814
2009,0.32,0.32,0.18074074074074073,0.3073333333333333
2010,0.46,0.46,0.3096491228070175,0.45099999999999996
2011,0.35,0.35,0.21707317073170732,0.31866666666666665
2012,0.34,0.34,0.18578811369509046,0.325
2013,0.42,0.42,0.27274909963985594,0.41761904761904767
2014,0.51,0.51,0.38017399267399266,0.4734285714285714
2015,0.37,0.37,0.23677248677248677,0.36166666666666664
2016,0.12,0.12,0.05173333333333333,0.10266666666666666
