Season,Accuracy,F-1(micro),F-1(macro),F-1(weighted)
2007,0.38,0.38,0.24690265486725663,0.3346666666666666
2008,0.39,0.39,0.2391487568478719,0.371952380952381
2009,0.25,0.25,0.13965936739659368,0.231
2010,0.45,0.45,0.26898858717040536,0.4333333333333333
2011,0.41,0.41,0.25819209039548024,0.391
2012,0.33,0.33,0.1952755905511811,0.31566666666666665
2013,0.43,0.43,0.2497126436781609,0.41233333333333333
2014,0.52,0.52,0.35919003115264797,0.48699999999999993
2015,0.38,0.38,0.22971576227390178,0.36599999999999994
2016,0.15,0.15,0.0746556473829201,0.12333333333333332
